No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
2,22/03/2023,Vente,250000.0,,,RTE,0127,DE L ANGOUINIERE,85000.0,ROCHE SUR YON (LA),85,191,,YR,93,,,,,,,,,,,,0,,,,,S,,607.0
1,03/08/2023,Vente,76400.0,60.0,,RUE,9030,VANNERIE,21000.0,DIJON,21,231,,BO,291,,12.0,"19,21",,,,,,,,,1,2.0,Appartement,17.0,1.0,,,
1,08/11/2023,Vente,208540.0,560.0,,RTE,0028,DE BONNANECH,82800.0,PUYGAILLARD-DE-QUERCY,82,145,,D,740,,,,,,,,,,,,0,1.0,Maison,60.0,3.0,T,,3374.0
1,06/01/2023,Vente,60000.0,65.0,,AV,0093,GEORGES CLEMENCEAU,85540.0,MOUTIERS-LES-MAUXFAITS,85,156,,AK,124,,,,,,,,,,,,0,,,,,S,,235.0
1,30/06/2023,Vente,200000.0,17.0,,RUE,0043,DU GENERAL DE GAULLE,2340.0,MONTCORNET,2,502,,A,285,,,,,,,,,,,,0,4.0,Local industriel. commercial ou assimilé,400.0,0.0,S,,2043.0
1,28/07/2023,Vente,418970.0,24.0,,AV,5125,PIERRE LEFAUCHEUX,92100.0,BOULOGNE-BILLANCOURT,92,12,,BD,153,,1208.0,,,,,,,,,,1,3.0,Dépendance,0.0,0.0,,,
1,12/12/2023,Vente,148300.0,20.0,,IMP,0471,LOUIS BLANC,60160.0,MONTATAIRE,60,414,,AY,722,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,S,,447.0
1,26/05/2023,Vente,115000.0,9.0,B,AV,0560,DE CHEVENE,74000.0,ANNECY,74,10,,DL,22,,26,"18,01",9.0,,,,,,,,2,2.0,Appartement,25.0,1.0,,,
1,01/06/2023,Vente,465000.0,6.0,,RUE,0280,FERDINAND HENRI,14390.0,VARAVILLE,14,724,,AA,87,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,AG,,443.0
1,30/05/2023,Vente,150000.0,,,,B021,LE VILLAGE,80140.0,NESLETTE,80,587,,AB,57,,,,,,,,,,,,0,,,,,P,,1403.0
1,13/01/2023,Vente,320805.0,2.0,,RUE,0141,DU 8 MAI 1945,37520.0,LA RICHE,37,195,,AP,876,,109.0,,,,,,,,,,1,3.0,Dépendance,0.0,0.0,,,
1,17/10/2023,Vente,72400.0,,,,B031,LUZIN,42410.0,CHAVANAY,42,56,,AC,216,,,,,,,,,,,,0,,,,,AB,,268.0
1,21/08/2023,Vente,149000.0,1.0,,ALL,0882,DE BERNE,35200.0,RENNES,35,238,,LR,153,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,S,,835.0
1,08/09/2023,Vente,390000.0,15.0,B,RUE,4827,DES JARDINIERS,75012.0,PARIS 12,75,112,,BS,31,,7,"40,10",,,,,,,,,1,2.0,Appartement,37.0,2.0,,,
1,10/02/2023,Vente,1180000.0,22.0,,RUE,1380,AU PAIN,78100.0,SAINT-GERMAIN-EN-LAYE,78,551,,AI,1142,,,,,,,,,,,,0,2.0,Appartement,19.0,1.0,S,,128.0
1,22/12/2023,Vente,136500.0,60.0,,BD,3180,LOBAU,54000.0,NANCY,54,395,,BC,110,,7,"32,50",,,,,,,,,1,2.0,Appartement,30.0,2.0,,,
1,23/10/2023,Vente,86000.0,,,RUE,0143,DES VENDANGES,66600.0,PEYRESTORTES,66,138,,AD,314,,35,,,,,,,,,,1,2.0,Appartement,38.0,2.0,,,
1,18/09/2023,Vente,111486.0,,,,B111,PUECH PAILLIES,34370.0,MARAUSSAN,34,148,,BO,34,,,,,,,,,,,,0,,,,,VI,,1569.0
1,20/04/2023,Vente en l'état futur d'achèvement,466500.0,24.0,,RUE,5980,RENAN,69007.0,LYON 7EME,69,387,,AW,58,,38.0,,,,,,,,,,1,,,,,,,
1,07/07/2023,Vente,33000.0,,,,B003,CANTON DU CHAMP POURRI,59553.0,CUINCY,59,165,,AK,48,,,,,,,,,,,,0,,,,,T,,22165.0
1,08/08/2023,Vente,100000.0,34.0,,RTE,0253,DU POIRIER VERT,89320.0,CERISIERS,89,66,,F,853,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,S,,1000.0
1,02/05/2023,Vente,62000.0,,,,B049,LA FOSSE AUX BRUNES,51230.0,PLEURS,51,432,,YA,3,,,,,,,,,,,,0,,,,,T,,5050.0
1,21/06/2023,Vente,800.0,,,,B003,BEL AIR,89290.0,JUSSY,89,212,,D,494,,,,,,,,,,,,0,,,,,L,,1688.0
1,23/08/2023,Vente,318500.0,15.0,C,BD,0235,NATIONAL,30150.0,ROQUEMAURE,30,221,,AH,1325,,,,,,,,,,,,0,1.0,Maison,197.0,4.0,S,,1165.0
2,06/12/2023,Vente,1054000.0,3.0,,ALL,0085,AIME DE LA ROCHEFOUCAULD,37200.0,TOURS,37,261,,DK,94,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,,,
1,07/03/2023,Vente,132249.0,5117.0,,,B547,LE VERDIER,63890.0,SAINT-AMANT-ROCHE-SAVINE,63,314,,ZT,72,,,,,,,,,,,,0,1.0,Maison,90.0,3.0,S,,230.0
1,29/06/2023,Vente,680000.0,,,,B067,LES SABLES,36120.0,ETRECHET,36,71,,A,92,,,,,,,,,,,,0,,,,,T,,1364.0
1,27/01/2023,Vente,76000.0,20.0,,PAS,0005,BARBEROUSSE,11430.0,GRUISSAN,11,170,,AV,7,,113.0,,,,,,,,,,1,2.0,Appartement,29.0,1.0,,,
